,Year,gdp,gdp per capita,population,life expectancy
0,1970-12-31,2670777648529.6387,177108.80101250473,3437831147.0,59.380729064039414
1,1971-12-31,2965003751593.1826,197628.24806025263,3507296878.0,59.75233990147783
2,1972-12-31,3426098019232.5615,230647.94188166852,3576558190.0,60.11923152709358
3,1973-12-31,4190908434250.289,290183.28424843354,3646617851.0,60.481837438423646
4,1974-12-31,4801141785742.754,364180.2508484728,3716463535.0,60.84167487684729
5,1975-12-31,5356055880586.866,399991.1709413718,3784876825.0,61.201901477832514
6,1976-12-31,5838254739579.403,431594.8875817086,3852418917.0,61.566172413793105
7,1977-12-31,6583190227484.764,474674.1313931243,3920138131.0,61.93578325123153
8,1978-12-31,7837229292726.604,535219.5483864441,3988199573.0,62.310428571428574
9,1979-12-31,9020568683698.203,634471.4666246905,4058186294.0,62.68833497536946
10,1980-12-31,10131166525906.5,731289.7445255578,4130569886.0,63.0673645320197
11,1981-12-31,10422571462473.86,707213.8776406245,4204225918.0,63.44493103448276
12,1982-12-31,10278929110630.594,675951.7477935175,4280360359.0,63.81589655172414
13,1983-12-31,10539855969462.805,657430.2549684487,4357395031.0,64.17458128078817
14,1984-12-31,10972591618062.89,649964.5051574425,4434254952.0,64.5158472906404
15,1985-12-31,11384313316559.777,650397.2101963051,4512949484.0,64.83212807881773
16,1986-12-31,13333860490901.398,759423.4081120733,4593984075.0,65.11626600985221
17,1987-12-31,15179239739067.76,879656.8672753666,4677417548.0,65.36725615763548
18,1988-12-31,17011550868328.639,967385.9079884589,4761214957.0,65.58733497536946
19,1989-12-31,17795984400064.93,992448.0284349438,4845149990.0,65.78025123152709
20,1990-12-31,20681750436431.594,1190938.38806955,4929410960.0,65.95228571428571
21,1991-12-31,21715552815193.17,1209209.4495259677,5011318012.0,66.1115763546798
22,1992-12-31,23260262676103.766,1272424.4893560964,5090633146.0,66.26800492610838
23,1993-12-31,23748541664118.098,1223166.454376271,5168973429.0,66.43055665024632
24,1994-12-31,25500568986149.688,1297818.6985596207,5245177265.0,66.60543349753695
25,1995-12-31,28129529553890.61,1455126.4971561015,5320436725.0,66.79619704433497
26,1996-12-31,28601515999892.312,1492156.9572025784,5396509729.0,67.00304433497536
27,1997-12-31,28308013689313.777,1449598.614370596,5472015016.0,67.2224827586207
28,1998-12-31,28210545661199.89,1468233.3389723857,5546578548.0,67.45215270935961
29,1999-12-31,29272353142434.355,1504389.6586932894,5620676499.0,67.69308374384237
30,2000-12-31,30103876284690.805,1485549.2148018861,5695281285.0,67.94689655172414
31,2001-12-31,30057023268930.79,1479562.8373280219,5770398392.0,68.21569950738916
32,2002-12-31,31090908341581.477,1561059.1108760391,5845771591.0,68.50008866995074
33,2003-12-31,34882355537264.426,1814922.2416342786,5920969075.0,68.79962068965517
34,2004-12-31,39076022897494.72,2061639.1083043674,5995866688.0,69.11333990147783
35,2005-12-31,42201518099941.13,2252182.3004113827,6071106890.0,69.44122167487684
36,2006-12-31,45661418150000.66,2438518.5095906183,6146705173.0,69.78331527093596
37,2007-12-31,51332603539064.234,2789966.8424892854,6223077507.0,70.1365566502463
38,2008-12-31,56943106467968.29,3066072.37134312,6301014284.0,70.49652216748768
39,2009-12-31,54413052858129.21,2716352.917886479,6380357596.0,70.85814778325124
40,2010-12-31,59502225435229.484,2828078.925273326,6459836630.0,71.2156551724138
41,2011-12-31,66353838256635.44,3099443.152856581,6539314238.0,71.56379802955665
42,2012-12-31,67666994271991.95,3040312.5587204555,6620097268.0,71.89871428571429
43,2013-12-31,69589765025759.56,3141791.8737873267,6701851654.0,72.21699014778325
44,2014-12-31,71164808084408.62,3184728.8434012607,6782836008.0,72.51548768472907
45,2015-12-31,67139543423914.72,2856601.1309373537,6861842433.0,72.79149753694581
46,2016-12-31,68603601001288.09,2890564.1232115775,6939792898.0,73.04387684729063
47,2017-12-31,73376595758699.78,3044849.5297821104,7017729534.0,73.27554187192119
48,2018-12-31,78133211642701.38,3234731.4414312765,7093770827.0,73.4901921182266
49,2019-12-31,79455001382422.28,3212526.4877732075,7166982150.0,73.69046305418719
